,Name,Rating,Reviews,Company_type,Headquarter,Old,No. of Employees,Tags
2873,MBD GROUP,4,179,Private,New Delhi + 29 more,66 years old,501-1k Employees (India),Media & Entertainment / Publishing
2874,Orcapod Consulti...,3.4,179,Private,"Mumbai,Maharashtra + 13 more",12 years old,501-1k Employees (India),Recruitment / Staffing
2875,Arabtec Construc...,4.6,179,Private,"Dubai,Dubai + 12 more",47 years old,201-500 Employees (India),Engineering & Construction
2876,Accord Synergy,3.7,179,Public,"Vadodara/Baroda,Gujrat + 24 more",8 years old,51-200 Employees (India),Telecom / ISP
2877,Personiv,3.5,179,Private,"Austin,Texas + 3 more",37 years old,1k-5k Employees (India),BPO/KPO
2878,Hyundai Glovis,4,179,Public,"Gangnam-gu,Seoul + 8 more",21 years old,201-500 Employees (India),Urban Transport
2879,Fosroc Chemicals...,4.4,179,Private,Dubai + 28 more,50 years old,201-500 Employees (India),Chemicals / Agri Inputs
2880,Can-Pack,4.2,179,Private,"Aurangabad,Maharashtra + 7 more",30 years old,501-1k Employees (India),Food Processing
2881,Anand Rathi Glob...,3.7,179,Private,Mumbai + 34 more,40 years old,51-200 Employees (India),Financial Services
2882,Expleo Solutions,4,179,,Chennai + 6 more,,1k-5k Employees (India),Consulting
2883,Refinitiv,4.2,179,Private,"Mumbai,Maharashtra + 1 more",4 years old,51-200 Employees (India),IT Services & Consulting
2884,InfoStretch,3.7,179,Private,"Santa Clara,California + 4 more",18 years old,1k-5k Employees (India),Analytics / KPO / Research
2885,KRBL,3.9,178,Public,"Noida,Uttar Pradesh + 17 more",133 years old,501-1k Employees (India),Food Processing
2886,Hinduja Tech,3.8,178,,Chennai + 10 more,,,
2887,Navata Road Tran...,3.5,178,Partnership,"Vijayawada,Andhra Pradesh + 23 more",40 years old,1k-5k Employees (India),Logistics / Shipping
2888,Bajaj Hindusthan,4.2,178,Public,"Mumbai,Maharashtra + 13 more",91 years old,1k-5k Employees (India),Food Processing
2889,Barista Coffee C...,4.3,178,Private,"Delhi/NCR,New Delhi + 23 more",23 years old,1k-5k Employees (India),Retail
2890,Shah Technical C...,3.8,178,Private,"Mumbai,Maharashtra + 35 more",13 years old,51-200 Employees (India),Consulting
2891,YKK,4.1,178,Private,"Gurgaon/Gurugram,Haryana + 13 more",27 years old,201-500 Employees (India),Industrial Equipment / Machinery
2892,S.c Johnson Prod...,4.3,178,Private,"Racine,Wisconsin + 38 more",136 years old,501-1k Employees (India),Consumer goods
2893,Sekisui Dljm Mol...,3.9,178,JV,"Gurgaon/Gurugram,Haryana + 11 more",11 years old,51-200 Employees (India),Automobile
2894,Vedant Fashions,3.6,178,Private,"Kolkata,West Bengal + 30 more",20 years old,1k-5k Employees (India),Retail
2895,Drydocks World D...,4.2,178,LLC,"Dubai,Dubai + 11 more",39 years old,1k-5k Employees (India),Oil / Gas / Petro Chemicals
2896,Keihin India Man...,4.2,178,,Tokyo + 7 more,66 years old,,Manufacturing
2897,Infodrive,4.6,178,Private,"New Delhi,Delhi",26 years old,51-200 Employees (India),Miscellaneous
2898,Berkadia,4.2,178,Private,"New York,New York + 1 more",13 years old,1k-5k Employees (India),Financial Services
2899,Amrita Institute...,4.4,177,Private,"Kochi/Cochin,Kerala + 9 more",24 years old,5k-10k Employees (India),Education / Training
2900,Richa Global Exp...,4,177,Private,"Gurgaon/Gurugram,Haryana + 7 more",31 years old,10k-50k Employees (India),Import & Export
2901,Puravankara Proj...,4.2,177,Private,"Bangalore/Bengaluru,Karnataka + 9 more",47 years old,1k-5k Employees (India),Real Estate
2902,Luxor Writing In...,3.6,177,Private,"Noida,Uttar Pradesh + 24 more",21 years old,1k-5k Employees (India),Consumer goods
2903,Pepe Jeans,4.4,177,Private,Municipility Of Sant Feliu De Llobregat + 38 more,49 years old,51-200 Employees (India),Retail
2904,Gartner India Re...,4.2,177,Private,"Stamford,Connecticut + 6 more",70 years old,1k-5k Employees (India),Consulting
2905,Jaypee Hospital,4.2,177,Private,Noida + 5 more,8 years old,501-1k Employees (India),Medical Services / Hospital
2906,Oberoi Realty,3.7,177,Public,"Mumbai,Maharashtra + 5 more",42 years old,501-1k Employees (India),Real Estate
2907,Cipla Industries,3.8,177,,New Delhi + 27 more,24 years old,,Consumer goods
2908,Cordlife Science...,3.9,177,Private,"Kolkata,West Bengal + 30 more",21 years old,201-500 Employees (India),Clinical Research / Contract Research
2909,Maxi Multiservic...,3,177,Private,Lucknow + 46 more,7 years old,201-500 Employees (Global),FinTech / Payments
2910,Cashify,4,177,Private,"Gurgaon,Haryana + 18 more",9 years old,501-1k Employees (India),Internet
2911,Nimbus Harbor Fa...,3.9,177,Private,"Gurgaon/Gurugram,Haryana + 9 more",18 years old,10k-50k Employees (India),Facility Management Services
2912,TowerVision Indi...,4.1,177,Private,Chennai + 21 more,16 years old,501-1k Employees (India),Telecom / ISP
2913,PhyCARE Solution...,3.8,177,Private,"Bronx,New York + 3 more",22 years old,501-1k Employees (India),Financial Services
2914,FIGMD,3.5,177,Private,"Rockford,IL",12 years old,501-1k Employees (India),IT Services & Consulting
2915,MEP Infrastruct...,3.5,177,Public,"Mumbai,Maharashtra + 22 more",20 years old,1k-5k Employees (India),Roads/Railways
2916,DealShare,3.4,177,Private,"Jaipur,Rajasthan + 29 more",4 years old,201-500 Employees (India),Internet
2917,T&M Services con...,3.8,177,Private,"Mumbai,Maharashtra + 38 more",26 years old,501-1k Employees (India),Consulting
2918,Taraashna Financ...,4.1,176,Private,Gurgaon + 45 more,10 years old,51-200 Employees (India),Financial Services
2919,HomeShop18,4.2,176,Private,"Noida,Uttar Pradesh + 14 more",14 years old,501-1k Employees (India),Consumer goods
2920,Studds Accessori...,3.7,176,Private,"Faridabad,Haryana + 5 more",39 years old,1k-5k Employees (India),Industrial Equipment / Machinery
2921,Tube Products of...,4.1,176,Private,"Chennai,Tamil Nadu + 8 more",67 years old,10k-50k Employees (India),Automobile
2922,Emirates Airline...,4,176,Private,"Dubai,Dubai + 15 more",37 years old,1k-5k Employees (India),Airlines / Aviation / Aerospace
2923,Tops Security,3.5,176,Private,"Mumbai,Maharashtra + 23 more",52 years old,51-200 Employees (India),Logistics / Shipping
2924,Bal Pharma,3.8,176,Public,"Bangalore/Bengaluru,Karnataka + 19 more",35 years old,1k-5k Employees (India),Manufacturing
2925,Mediterranean Sh...,4,176,Private,Geneva + 17 more,52 years old,5k-10k Employees (India),Logistics / Shipping
2926,Apparel Group,3.4,176,Private,"Dubai,Dubai + 17 more",23 years old,201-500 Employees (India),Retail
2927,Columbia Petro C...,4.3,176,Private,"Mumbai,Maharashtra + 10 more",62 years old,51-200 Employees (India),Chemicals / Agri Inputs
2928,NetAmbit Infosou...,3.4,176,Private,Noida + 24 more,22 years old,1k-5k Employees (India),Financial Services
2929,Casagrand,4,176,Private,"Chennai,Tamil Nadu + 7 more",18 years old,501-1k Employees (India),Real Estate
2930,Highway Industri...,4.1,176,Private,"Ludhiana,Punjab + 7 more",51 years old,1k-5k Employees (India),Industrial Equipment / Machinery
2931,Omninos Solution...,4.7,176,,Chandigarh + 22 more,6 years old,,Software Product
2932,HUDL,3.6,176,Private,"Lincoln,Nebraska + 8 more",16 years old,501-1k Employees (India),Internet
2933,SVC Co-Operative...,4,176,Private,"Mumbai,Maharashtra + 26 more",116 years old,1k-5k Employees (India),Financial Services
2934,Amara Raja Power...,4,176,,"Tirupati,Andhra Pradesh + 26 more",37 years old,,Power
2935,Examity,3.7,176,,"Needham,Massachusetts + 3 more",9 years old,,Internet
2936,Zebronics,3.4,176,Private,"Chennai,Tamil Nadu + 32 more",25 years old,1k-5k Employees (India),Consumer goods
2937,KOREA PLANT SERV...,3.5,176,Private,"Naju,Jeollanam-do + 13 more",38 years old,1-10 Employees (India),Internet
2938,Allianz,4.3,1200,Private,Munich + 10 more,132 years old,10k-50k Employees (India),Financial Services
2939,VSoft Technologi...,3.5,175,Private,"Hyderabad/Secunderabad,Telangana + 13 more",18 years old,201-500 Employees (India),Financial Services
2940,Piramal Glass,4.2,175,Private,"Mumbai,Maharashtra + 7 more",38 years old,1k-5k Employees (India),Manufacturing
2941,MapmyIndia,4,175,Public,"Delhi,NCT + 4 more",30 years old,201-500 Employees (India),Internet
2942,Mobileum,4,175,Private,"Cupertino,California + 3 more",22 years old,501-1k Employees (India),Telecom / ISP
2943,Praxair,4,175,Private,"Danbury,Connecticut + 26 more",115 years old,201-500 Employees (India),Oil / Gas / Petro Chemicals
2944,ESIC HOSPITAL,4.3,175,Private,"Delhi/NCR,New Delhi + 35 more",70 years old,201-500 Employees (India),Medical Services / Hospital
2945,Machino Plastics,3.8,175,Public,"Gurgaon/Gurugram,Haryana + 9 more",35 years old,201-500 Employees (India),Automobile
2946,Mahendra NextWea...,3.8,175,,Salem + 8 more,13 years old,,Financial Services
2947,VST Industries,4.2,175,Public,"Hyderabad/Secunderabad,Telangana + 51 more",92 years old,501-1k Employees (India),Consumer goods
2948,CESC,3.9,175,Public,"Kolkata,West Bengal + 12 more",123 years old,5k-10k Employees (India),Power
2949,Tega Industries,3.8,175,Public,"Kolkata,West Bengal + 14 more",46 years old,1k-5k Employees (India),Metals & Mining
2950,Sun TV Network,3.9,175,Public,"Chennai,Tamil Nadu + 7 more",29 years old,1k-5k Employees (India),Media & Entertainment / Publishing
2951,Zee Laboratories,3.2,175,Public,"Delhi/NCR,Delhi + 16 more",29 years old,201-500 Employees (India),Clinical Research / Contract Research
2952,Sel Manufacturin...,3.7,175,Public,"Ludhiana,Punjab + 10 more",53 years old,1k-5k Employees (India),Manufacturing
2953,Asti Electronics...,4,175,Private,"Gurgaon/Gurugram,Haryana + 5 more",18 years old,201-500 Employees (India),Manufacturing
2954,EVRY India,3.6,175,Private,"Bangalore/Bengaluru,Karnataka + 2 more",29 years old,501-1k Employees (India),IT Services & Consulting
2955,Mantri Developer...,3.2,175,Private,"Bangalore/Bengaluru,Karnataka + 5 more",23 years old,501-1k Employees (India),Real Estate
2956,Tata Power Solar...,4.2,175,Public,"Mumbai,Maharashtra + 29 more",33 years old,1k-5k Employees (India),Power
2957,Vertex,3.6,1000,Private,"King Of Prussia,Pennsylvania + 17 more",33 years old,501-1k Employees (India),Internet
2958,STAR,3.8,244,,"Mumbai,Maharashtra + 25 more",28 years old,,Financial Services
2959,CEC Internationa...,4.6,174,Private,Taipei + 12 more,77 years old,201-500 Employees (India),Engineering & Construction
2960,Nous Infosystems,4,174,Private,"Bangalore/Bengaluru,Karnataka + 3 more",26 years old,1k-5k Employees (India),IT Services & Consulting
2961,Schneider Electr...,4.1,174,Public,Rueil-Malmaison + 18 more,186 years old,10k-50k Employees (India),Design
2962,Yashi Consulting...,4,174,Private,Jaipur + 11 more,17 years old,51-200 Employees (India),Consulting
2963,Claris Lifescien...,3.8,174,Public,"Ahmedabad,Gujrat + 16 more",23 years old,1k-5k Employees (India),Manufacturing
2964,Hindware,4.1,174,Private,Gurgaon + 36 more,62 years old,51-200 Employees (India),Building Material
2965,Gujarat Gas,4.5,174,Public,"Gandhinagar,Gujarat + 33 more",42 years old,1k-5k Employees (India),Oil / Gas / Petro Chemicals
2966,Global Hospital ...,4,174,Private,"Pune,Maharashtra + 13 more",10 years old,51-200 Employees (India),Medical Services / Hospital
2967,Oriflame,3.8,174,Private,"Stockholm,Schaffhausen + 20 more",55 years old,1k-5k Employees (India),Beauty & Wellness
2968,VISA Steel,3.9,174,Public,"Bhubaneswar,Odisha + 11 more",26 years old,1k-5k Employees (India),Iron & Steel
2969,CTDI,3.7,174,Private,"West Chester,Pennsylvania + 16 more",47 years old,201-500 Employees (India),Logistics / Shipping
2970,CommScope,3.9,174,Private,North Carolina + 12 more,46 years old,1k-5k Employees (India),Telecom / ISP
2971,Hygienic Researc...,4.4,174,Private,"Mumbai,Maharashtra + 27 more",65 years old,201-500 Employees (India),Beauty & Wellness
2972,Electronica Fina...,4,174,Public,"Pune,Maharashtra + 48 more",32 years old,501-1k Employees (India),Manufacturing
2973,Theme Engineerin...,3.6,174,Private,"Jaipur,Rajasthan + 52 more",20 years old,501-1k Employees (India),Engineering & Construction
2974,E2OPEN,3.9,174,Private,"AUstin,Texas + 3 more",22 years old,1k-5k Employees (India),Hardware & Networking
2975,Belstar Investme...,4.2,174,Private,"Chennai,Tamil Nadu + 66 more",34 years old,201-500 Employees (India),Financial Services
2976,Hitachi Energy,4.1,174,,Chennai + 14 more,,1k-5k Employees (India),Power
2977,Porter,3.9,174,Private,"Bangalore,Karnataka + 15 more",8 years old,1k-5k Employees (India),Internet
2978,Spectrum Talent ...,3.9,174,Private,"Noida,Uttar Pradesh + 32 more",14 years old,5k-10k Employees (Global),Recruitment / Staffing
2979,Precision Techse...,3.8,173,Private,Chennai + 52 more,23 years old,1k-5k Employees (India),IT Services & Consulting
2980,Rinder India,3.9,173,Private,"Pune,Maharashtra + 6 more",25 years old,201-500 Employees (India),Automobile
2981,Arvind Fashions,3.8,173,Public,"Bangalore/Bengaluru,Karnataka + 30 more",29 years old,1k-5k Employees (India),Textile & Apparel
2982,Concord Biotech,3.5,173,Public,"Ahmedabad,Gujarat + 5 more",22 years old,501-1k Employees (India),Biotech & Life sciences
2983,My Home Construc...,4.4,173,Private,"Hyderabad/Secunderabad,Telangana + 8 more",33 years old,501-1k Employees (India),Real Estate
2984,BridgeLabz Solut...,4.1,173,,"Mumbai,Maharashtra + 8 more",6 years old,,e-Learning / EdTech
2985,AIG,3.9,173,,New York + 8 more,13 years old,,Analytics / KPO / Research
2986,Cotmac Electroni...,4.3,173,Private,"Pune,Maharashtra + 13 more",31 years old,501-1k Employees (India),Manufacturing
2987,Paragon Digital ...,3.9,173,Private,Chennai + 10 more,15 years old,1k-5k Employees (India),Advertising / PR / Events
2988,Sedemac Mechatro...,4.1,173,Private,"Mumbai,Maharashtra + 2 more",15 years old,201-500 Employees (India),Industrial Equipment / Machinery
2989,Al Tasnim Enterp...,3.8,173,Private,Muscat + 9 more,46 years old,201-500 Employees (India),Metals & Mining
2990,Doubtnut,3.2,173,Private,"Gurgaon,Haryana + 11 more",6 years old,201-500 Employees (India),Internet
2991,Hitachi Vantara,3.9,173,Private,Santa Clara + 8 more,4 years old,1k-5k Employees (India),IT Services & Consulting
2992,Hinduja Group,3.9,17200,Public,Mumbai + 51 more,108 years old,1 Lakh+ Employees (India),Financial Services
2993,Air Liquide,4.2,202,Public,Paris + 19 more,120 years old,501-1k Employees (India),Healthcare / Pharma
2994,Dinshaws,4.2,172,Private,"Nagpur,Maharashtra + 25 more",90 years old,501-1k Employees (India),Agriculture / Forestry / Fishing
2995,Manhattan Associ...,4.1,172,Private,"Atlanta,Georgia + 1 more",32 years old,1k-5k Employees (India),Consumer goods
2996,Case New-Holland...,4.1,172,Private,London + 29 more,180 years old,51-200 Employees (India),Industrial Equipment / Machinery
2997,Laser Power & In...,3.7,172,Private,"Kolkata,West Bengal + 22 more",34 years old,1k-5k Employees (India),Electrical Equipment
2998,Solartis Technol...,3.8,172,LLC,"Manhattan Beach,California + 1 more",18 years old,51-200 Employees (India),BPO/KPO
2999,Flyjac Logistics,4.1,172,Private,"Chennai,Tamil Nadu + 33 more",32 years old,501-1k Employees (India),Logistics / Shipping
3000,Shyam Indus Powe...,3.9,172,Private,"Delhi/NCR,Delhi + 18 more",18 years old,1k-5k Employees (India),Power
3001,Sundaram Motors,4,172,Private,"Chennai,Tamil Nadu + 23 more",24 years old,51-200 Employees (India),Automobile
3002,Atul Auto,3.3,172,Public,"Rajkot,Gujrat + 24 more",40 years old,1k-5k Employees (India),Automobile
3003,ArcGate,3.5,172,Private,"Udaipur,Rajasthan",17 years old,1k-5k Employees (India),BPO/KPO
3004,Mahindra Lifespa...,4,172,Public,"Mumbai,Maharashtra + 16 more",28 years old,201-500 Employees (India),Real Estate
3005,ABI SHOWA TECH,4,172,Private,"Chennai,Tamil Nadu + 7 more",31 years old,1k-5k Employees (India),Automobile
3006,Shakti Pumps,3.8,172,Public,"Dhar,Madhya Pradesh + 24 more",40 years old,501-1k Employees (India),Industrial Equipment / Machinery
3007,Anu Industries,3.9,172,Private,"Delhi/NCR,New Delhi + 11 more",48 years old,201-500 Employees (India),Industrial Equipment / Machinery
3008,Bengal Beverages,3.4,172,Private,Dankuni + 5 more,27 years old,501-1k Employees (India),Food Processing
3009,Spm Autocomp,3.5,172,Private,"Gurgaon/Gurugram,Haryana + 8 more",27 years old,51-200 Employees (India),Industrial Equipment / Machinery
3010,Gold Plus Glass,4,172,Private,"Delhi/NCR,Delhi + 10 more",37 years old,1k-5k Employees (India),Building Material
3011,Groupm Media,4.1,172,Public,"New York,New York, + 10 more",19 years old,1k-5k Employees (India),Media & Entertainment / Publishing
3012,Baroda Global Sh...,3.9,172,Public,Mumbai + 22 more,5 years old,201-500 Employees (India),Banking
3013,Koch Business So...,3.8,172,Private,"Wichita,Kansas + 1 more",82 years old,1k-5k Employees (India),Oil & Gas
3014,Cryoviva Biotech,3.4,172,Private,"Gurgaon/Gurugram,Haryana + 37 more",16 years old,501-1k Employees (India),Biotech & Life sciences
3015,Aster Dm Healthc...,4.1,172,Public,Dubai + 17 more,35 years old,501-1k Employees (India),Medical Services / Hospital
3016,HealthKart,4.1,171,Private,"Gurgaon,Haryana + 17 more",11 years old,501-1k Employees (India),Internet
3017,Centre For Sight,4,171,Private,Delhi + 18 more,26 years old,501-1k Employees (India),Medical Services / Hospital
3018,GE Aviation,4.1,171,Private,Cincinnati + 5 more,105 years old,1k-5k Employees (India),Airlines / Aviation / Aerospace
3019,VIT University,4.4,171,Private,"Vellore,Tamil Nadu + 9 more",38 years old,1k-5k Employees (India),Education / Training
3020,Kogta Financial,4.3,171,Public,"Jaipur,Rajasthan + 56 more",26 years old,1k-5k Employees (India),Financial Services
3021,VAYA Finserv,4.2,171,Private,"Hyderabad,Telangana + 39 more",8 years old,1k-5k Employees (India),Internet
3022,Call 2 Connect,3.2,171,Private,"Mumbai,Maharashtra + 11 more",19 years old,501-1k Employees (India),BPO/KPO
3023,Indorama,4,171,Private,Jakarta + 19 more,47 years old,51-200 Employees (India),Manufacturing
3024,Vascon Engineers,3.9,171,Public,"Pune,Maharashtra + 13 more",36 years old,501-1k Employees (India),Real Estate
3025,Lipi Data System...,3.7,171,Private,Mumbai + 32 more,29 years old,501-1k Employees (India),Manufacturing
3026,Valvoline Cummin...,4.1,171,Private,"Gurgaon/Gurugram,Haryana + 39 more",24 years old,201-500 Employees (India),Industrial Equipment / Machinery
3027,Godrej Interio,4,171,Private,Mumbai + 38 more,37 years old,1k-5k Employees (India),Consumer goods
3028,Deluxe Entertain...,3.8,171,Private,"Hollywood,Florida + 3 more",107 years old,5k-10k Employees (India),Internet
3029,Shalimar Paints,3.6,171,Public,"Gurgaon/Gurugram,Haryana + 34 more",120 years old,1k-5k Employees (India),Chemicals / Agri Inputs
3030,Planetcast,4,171,Public,"Noida,Uttar Pradesh + 8 more",26 years old,1k-5k Employees (India),Internet
3031,APL Apollo Tubes...,4,171,Public,"Delhi/NCR,New Delhi + 23 more",36 years old,1k-5k Employees (India),Building Material
3032,Karamtara Engine...,3.3,171,,"Mumbai,Maharashtra + 8 more",26 years old,,Manufacturing
3033,ZF India Technol...,3.7,171,Private,Friedrichshafen + 1 more,107 years old,10k-50k Employees (India),Auto Components
3034,PC Financial Ser...,3.7,171,Private,"Gurgaon/Gurugram,Haryana + 2 more",27 years old,201-500 Employees (India),Financial Services
3035,Jio Platforms,3.9,171,,Navi Mumbai + 15 more,,10k-50k Employees (India),IT Services & Consulting
3036,Birla Cement,4.3,171,,Kolkata + 42 more,112 years old,,Engineering & Construction
3037,Net Solutions,4.8,171,Private,"Chandigarh,Haryana",22 years old,201-500 Employees (India),Hardware & Networking
3038,Innominds Softwa...,3.6,171,Private,"Hyderabad/Secunderabad,Telangana + 5 more",24 years old,1k-5k Employees (India),Engineering & Construction
3039,SiliconIndia,2.6,170,Private,"Bangalore/Bengaluru,Karnataka + 2 more",25 years old,201-500 Employees (India),Internet
3040,Hamleys,4.1,170,Private,London + 35 more,262 years old,1k-5k Employees (India),Consumer goods
3041,CARE Ratings,3.1,170,Public,Mumbai + 14 more,29 years old,501-1k Employees (India),Financial Services
3042,Tablets (India),3.9,170,Private,"Chennai,Tamil Nadu + 29 more",84 years old,501-1k Employees (India),Manufacturing
3043,New Opportunity ...,4.3,170,Private,Navi Mumbai + 64 more,7 years old,201-500 Employees (India),Financial Services
3044,Adama,4.4,170,Private,Tel Aviv + 41 more,13 years old,201-500 Employees (India),Agriculture / Forestry / Fishing
3045,Bahwan CyberTek,3.6,170,Private,"Chennai,Tamil Nadu + 9 more",23 years old,1k-5k Employees (India),Analytics / KPO / Research
3046,Superhouse,3.7,170,Public,"Unnao,Uttar Pradesh + 8 more",42 years old,501-1k Employees (India),Import & Export
3047,ITCONS e-Solutio...,3.6,170,Private,"Noida,Uttar Pradesh + 53 more",15 years old,1k-5k Employees (India),IT Services & Consulting
3048,Ivy Hospital,3.9,170,Private,"Mohali,Punjab + 10 more",14 years old,501-1k Employees (India),Medical Services / Hospital
3049,MMC Infotech Ser...,3.4,170,Private,"Chennai,Tamil Nadu + 2 more",32 years old,201-500 Employees (India),Financial Services
3050,Vision Express,4.1,170,Private,"Bangalore/Bengaluru,Karnataka + 26 more",14 years old,501-1k Employees (India),Retail
3051,Prabhat Dairy,4.2,170,Public,Rahata + 20 more,24 years old,201-500 Employees (India),Agriculture / Forestry / Fishing
3052,HDFC Mutual Fund,3.9,170,,"Mumbai,Maharashtra + 60 more",23 years old,,Financial Services
3053,Radiant Cash Man...,3.6,170,Private,"Chennai,Tamil Nadu + 36 more",17 years old,5k-10k Employees (India),Financial Services
3054,Sarvodaya Hospit...,4.3,170,Private,"Faridabad,Haryana + 11 more",31 years old,51-200 Employees (India),Clinical Research / Contract Research
3055,Honour Lab,3.8,170,Private,"Hyderabad/Secunderabad,Telangana + 7 more",10 years old,201-500 Employees (India),Manufacturing
3056,Celebi Delhi Car...,4.1,170,,Istanbul + 3 more,64 years old,,Airlines / Aviation / Aerospace
3057,DATAMARK BPO SER...,3.8,170,Private,El Paso + 5 more,33 years old,1k-5k Employees (India),BPO/KPO
3058,Pfizer Healthcar...,4.3,170,,Mumbai + 11 more,13 years old,,Pharmaceutical & Life Sciences
3059,Kraft Heinz Comp...,4.3,171,Private,"Mumbai,Maharashtra + 29 more",28 years old,501-1k Employees (India),Food Processing
3060,Walplast Product...,3.8,169,Private,"Navi Mumbai,Maharashtra + 24 more",18 years old,201-500 Employees (India),Manufacturing
3061,AirAsia,3.7,169,Public,"Bangalore/Bengaluru,Karnataka + 18 more",9 years old,1k-5k Employees (India),Airlines / Aviation / Aerospace
3062,Billabong High I...,3.9,169,Public,"Noida,Uttar Pradesh + 17 more",13 years old,51-200 Employees (India),Education / Training
3063,Toshiba Transmis...,3.8,169,Private,Hyderabad + 16 more,128 years old,501-1k Employees (India),Manufacturing
3064,Gold's Gym,3.7,169,Private,"Dallas,Texas + 46 more",57 years old,1-10 Employees (India),Sports/Fitness
3065,Uniinfo Telecom ...,3.3,169,Public,"Indore,Madhya Pradesh + 23 more",12 years old,201-500 Employees (India),Telecom / ISP
3066,La-Gajjar Machin...,4.1,169,Private,"Ahmedabad,Gujarat + 22 more",87 years old,51-200 Employees (India),Manufacturing
3067,Thyssenkrupp Ind...,4.2,169,,Essen + 12 more,163 years old,,Industrial Equipment / Machinery
3068,Kentech Internat...,4.4,169,Private,Dubai + 13 more,29 years old,201-500 Employees (India),Engineering & Construction
3069,Bajaj Energy,4.3,169,Public,"Mumbai,Maharashtra + 14 more",14 years old,501-1k Employees (India),Power
3070,Pmkvy,3.9,169,Public,"Delhi/NCR,Delhi + 73 more",7 years old,1-10 Employees (India),NGO / Social Services / Industry Associations
3071,Smollan Group,4.3,169,Private,Johannesburg + 38 more,91 years old,201-500 Employees (India),Consulting
3072,Krishnapatnam P...,4.1,169,Private,"Nellore,Andhra Pradesh + 6 more",14 years old,501-1k Employees (India),Marine
3073,Koyo Bearings In...,3.9,169,Private,Gurgaon + 3 more,15 years old,1k-5k Employees (India),Industrial Equipment / Machinery
3074,Health India Tpa...,3.7,169,Private,"Mumbai,Maharashtra + 22 more",20 years old,51-200 Employees (India),Internet
3075,Yara Fertilisers,4,169,,Oslo + 29 more,117 years old,,Fertilizers / Pesticides / Agro chemicals
3076,Drake & Scull In...,3.8,169,Private,Dubai + 13 more,141 years old,51-200 Employees (India),Engineering & Construction
3077,MobileComm Techn...,3.9,169,Private,"Richardson,TX + 24 more",20 years old,201-500 Employees (India),Telecom / ISP
3078,Wood Group,4.1,169,Private,"Aberdeen City,Aberdeen + 18 more",110 years old,51-200 Employees (India),Power
3079,Javi Systems,3.8,169,Private,"Bangalore/Bengaluru,Karnataka + 30 more",15 years old,201-500 Employees (India),IT Services & Consulting
3080,DSM Infocom,2.3,169,Private,Heerlen + 32 more,18 years old,1k-5k Employees (India),BPO/KPO
3081,Mobikwik,3.6,169,Private,"Gurgaon,Haryana + 13 more",13 years old,201-500 Employees (India),Financial Services
3082,Alchem Internati...,3.7,169,Private,"Gurgaon/Gurugram,Haryana + 17 more",87 years old,201-500 Employees (India),Biotechnology
3083,Meghalaya Cement...,3.9,169,Private,"Kolkata,West Bengal + 6 more",19 years old,501-1k Employees (India),Building Material
3084,Biz 2 Credit Inf...,4.4,169,Private,"New York,New York + 1 more",15 years old,201-500 Employees (India),Financial Services
3085,BP,4.1,486,Private,London + 5 more,113 years old,1k-5k Employees (India),Oil & Gas
3086,United India Ins...,4.2,168,Public,"Chennai,Tamil Nadu + 67 more",84 years old,10k-50k Employees (India),Financial Services
3087,Premium Transmis...,3.6,168,Private,"Pune,Maharashtra + 12 more",61 years old,501-1k Employees (India),Industrial Equipment / Machinery
3088,Shopclues,4.1,168,Private,"Gurgaon,Haryana + 5 more",11 years old,501-1k Employees (India),Consumer goods
3089,Sterling Tools,4,168,Public,"Faridabad,Haryana + 9 more",43 years old,501-1k Employees (India),Industrial Equipment / Machinery
3090,Andromeda Sales ...,3.2,168,Private,"Mumbai,Maharashtra + 34 more",31 years old,1k-5k Employees (India),Consulting
3091,Wanbury,3.3,168,Public,"Mumbai,Maharashtra + 21 more",34 years old,1k-5k Employees (India),Import & Export
3092,Big C,4.2,168,Private,"Hyderabad/Secunderabad,Telangana + 28 more",19 years old,1k-5k Employees (India),Retail
3093,Seth M R Jaipuri...,4,168,Private,"Delhi/NCR,Delhi + 22 more",30 years old,1k-5k Employees (India),Education / Training
3094,The Institute Of...,4.1,168,,New Delhi + 52 more,73 years old,,Financial Services
3095,Core Integra Con...,3.6,168,Private,"Mumbai,Maharashtra + 40 more",11 years old,1k-5k Employees (India),Recruitment / Staffing
3096,D.p. Jain & Co. ...,3.6,168,Private,"Nagpur,Maharashtra + 21 more",48 years old,201-500 Employees (India),Real Estate
3097,National Insuran...,4.1,168,Private,"Kolkata,West Bengal + 56 more",116 years old,50k-1 Lakh Employees (India),Financial Services
3098,Zuari Agro Chemi...,4.1,168,Public,"Gurgaon/Gurugram,Haryana + 37 more",55 years old,501-1k Employees (India),Chemicals / Agri Inputs
3099,Eurofins It Solu...,3.7,168,Private,"Bangalore/Bengaluru,Karnataka + 2 more",10 years old,1k-5k Employees (India),IT Services & Consulting
3100,B.L Agro Oils,3.6,168,,Bareilly + 21 more,29 years old,,Food Processing
3101,Hummingwave Tech...,5,168,Private,Bangalore + 2 more,9 years old,11-50 Employees (India),IT Services & Consulting
3102,Netaxis IT Solut...,3.8,168,Private,"Chennai,Tamil Nadu",22 years old,1-10 Employees (India),IT Services & Consulting
3103,Emerson Climate ...,4.1,169,,St. Louis + 18 more,132 years old,,Furniture & Furnishing
