,Name,Rating,Reviews,Company_type,Headquarter,Old,No. of Employees,Tags
235,Tata AIA Life In...,4,1700,Private,"Mumbai,Maharashtra + 197 more",21 years old,10k-50k Employees (India),Financial Services
236,Capita,3.9,1800,Private,"Indore,Madhya Pradesh + 16 more",17 years old,1k-5k Employees (India),BPO/KPO
237,Rivigo,3.8,1700,Private,"Gurgaon,Haryana + 144 more",8 years old,1k-5k Employees (India),Internet
238,RBL Bank,3.8,1700,Public,"Mumbai,Maharashtra + 175 more",79 years old,10k-50k Employees (India),Banking
239,KPIT Technologie...,3.6,1700,Public,"Pune,Maharashtra + 19 more",32 years old,5k-10k Employees (India),IT Services & Consulting
240,Dabur,4.1,1700,Public,"Ghaziabad,Uttar Pradesh + 187 more",138 years old,5k-10k Employees (India),Consumer goods
241,Dilip Buildcon,4.1,1700,Public,"Bhopal,Madhya Pradesh + 135 more",35 years old,10k-50k Employees (India),Metals & Mining
242,Patanjali Ayurve...,4,1700,Private,"Haridwar,Uttarakhand + 215 more",16 years old,5k-10k Employees (India),Beauty & Wellness
243,Kotak Mahindara ...,3.9,1700,Public,"Mumbai,Maharashtra + 164 more",21 years old,10k-50k Employees (India),Financial Services
244,Radisson Hotels,3.9,1700,Private,"Minnetonka,Minnesota + 88 more",113 years old,10k-50k Employees (India),Travel & Tourism / Hospitality
245,Publicis Sapien...,3.9,1700,Private,"New York,New York + 15 more",32 years old,10k-50k Employees (India),Analytics / KPO / Research
246,Biocon Biologics...,4,1600,Public,"Bangalore/Bengaluru,Karnataka + 55 more",44 years old,10k-50k Employees (India),Biotechnology
247,Apollo Tyres,4.2,2000,Public,"Gurgaon/Gurugram,Haryana + 127 more",50 years old,5k-10k Employees (India),Automobile
248,IndiGo,3.5,1700,Private,"Boston,Massachusetts + 71 more",17 years old,10k-50k Employees (India),Airlines / Aviation / Aerospace
249,HDFC Ergo Genera...,4,1600,Public,"Mumbai,Maharashtra + 174 more",20 years old,5k-10k Employees (India),Financial Services
250,Ola Cabs,3.5,2300,Private,Bangalore + 84 more,12 years old,10k-50k Employees (India),Internet
251,Berger Paints,3.8,1700,Public,"Kolkata,West Bengal + 180 more",99 years old,1k-5k Employees (India),Chemicals / Agri Inputs
252,JK Cement,4.1,1600,Public,"Gurgaon/Gurugram,Haryana + 183 more",48 years old,1k-5k Employees (India),Building Material
253,Eureka Forbes,4,1600,Private,"Mumbai,Maharashtra + 145 more",40 years old,5k-10k Employees (India),Consumer goods
254,Landmark Group,4.3,4900,Private,"Dubai Marina,Dubai + 104 more",49 years old,1k-5k Employees (India),Retail
255,Max Healthcare,4.2,1700,Partnership,"Delhi/NCR,New Delhi + 50 more",21 years old,1k-5k Employees (India),Medical Services / Hospital
256,GeBBS Healthcare...,3.9,1600,Private,"Culver City,California + 11 more",17 years old,5k-10k Employees (India),BPO / Call Centre
257,Lifestyle,4.4,1700,Private,"Bangalore/Bengaluru,Karnataka + 88 more",23 years old,10k-50k Employees (India),Retail
258,Escorts Group,4.2,1700,Public,"Faridabad,Haryana + 94 more",62 years old,10k-50k Employees (India),Automobile
259,PolicyBazaar,3.7,1600,Public,"Gurgaon,Haryana + 31 more",14 years old,5k-10k Employees (India),Internet
260,Utkarsh Small Fi...,4,1600,Public,"Varanasi,Uttar Pradesh + 204 more",13 years old,10k-50k Employees (India),Financial Services
